"","x"
"1","Cxcl1"
"2","Egr2"
"3","Cxcl2"
"4","Cxcl3"
"5","Cish"
"6","Gm13889"
"7","Phldb1"
"8","Dpep3"
"9","Lif"
"10","Eid3"
"11","Trim36"
"12","Bsn"
"13","Rhof"
"14","Cdc42ep2"
"15","Pvr"
"16","Art2a"
"17","Plat"
"18","9130004J05Rik"
"19","Dusp4"
"20","Cx3cl1"
"21","Eno2"
"22","Scd2"
"23","0610038B21Rik"
"24","Mir99ahg"
"25","Sele"
"26","Col19a1"
"27","Pdgfb"
"28","Adra1a"
"29","Fbxo40"
"30","Pot1b"
"31","A930019D19Rik"
"32","Bcl2l11"
"33","Zhx2"
"34","Smpd3"
"35","Ptger2"
"36","Cd247"
"37","Gpr132"
"38","Gm16144"
"39","Mapk8"
"40","Herpud1"
"41","Prrg4"
"42","Gm14023"
"43","Ccl22"
"44","Nlrp3"
"45","Rasgef1b"
"46","2510009E07Rik"
"47","Rcor2"
"48","Prkcg"
"49","Tnf"
"50","Nr1d1"
"51","Gprc5c"
"52","Ralgapa2"
"53","Taf15"
"54","Depp1"
"55","Sgms1"
"56","Icosl"
"57","Rarg"
"58","Dnmt3aos"
"59","Il1bos"
"60","Sqstm1"
"61","Rgs16"
"62","Rsad1"
"63","Errfi1"
"64","Ptpn22"
"65","Ppp1r15a"
"66","Pim2"
"67","Ampd3"
"68","Ankrd33b"
"69","Ppfibp2"
"70","Jdp2"
"71","Gm20022"
"72","Arl5c"
"73","Fgd3"
"74","Ptger4"
"75","Trib1"
"76","Efna2"
"77","Prdm1"
"78","9930022D16Rik"
"79","Zc3h12c"
"80","Gm19316"
"81","Arhgap27"
"82","Cacnb1"
"83","Gm20605"
"84","Airn"
"85","Zfp263"
"86","Mybpc3"
"87","1700001L05Rik"
"88","Lancl3"
"89","Gm17494"
"90","Ptafr"
"91","Ankrd28"
"92","Ppp1r12b"
"93","Kdm6b"
"94","Tgfbi"
"95","Ppfibp1"
"96","Maff"
"97","Ldlrad4"
"98","Hivep3"
"99","Trps1"
"100","Zfp619"
"101","Nckap5l"
"102","Myef2"
"103","AV051173"
"104","Nbeal1"
"105","Gem"
"106","Zfp971"
"107","Gm14636"
"108","Btbd11"
"109","Myo1g"
"110","Leng8"
"111","Abhd18"
"112","Ptgir"
"113","Sh3bgrl2"
"114","Srebf2"
"115","Pip5k1c"
"116","9330159M07Rik"
"117","Plekhg2"
"118","Ifrd1"
"119","Micall2"
"120","Mamld1"
"121","Cpeb4"
"122","Icam1"
"123","Akna"
"124","Stxbp6"
"125","Mob3b"
"126","Manea"
"127","Fos"
"128","Sertad2"
"129","Grhl1"
"130","Pim1"
"131","Sh3d21"
"132","Gpr137b"
"133","Flrt3"
"134","Micu3"
"135","Slc5a3"
"136","A130040M12Rik"
"137","Nol4l"
"138","Spaca6"
"139","Ptpre"
"140","Swap70"
"141","Cdk6"
"142","Ticam2"
"143","Relb"
"144","Nfkbid"
"145","H2-Q7"
"146","Tspyl3"
"147","Gpr137b-ps"
"148","Zbtb37"
"149","Vcam1"
"150","Il4i1"
"151","Bcorl1"
"152","Ticam1"
"153","Mtmr12"
"154","Lrrfip2"
"155","Ube4b"
"156","Prkab2"
"157","Gm20199"
"158","Zswim4"
"159","Rrad"
"160","Rab11fip1"
"161","Fn1"
"162","Ctu1"
"163","F3"
"164","Usp53"
"165","Gm19551"
"166","Stk38l"
"167","Zfp871"
"168","Nxpe5"
"169","Adora2a"
"170","Rrs1"
"171","Cd80"
"172","Plxnd1"
"173","Malt1"
"174","4930594C11Rik"
"175","Megf11"
"176","Tbl1x"
"177","Adgre5"
"178","Acvr1b"
"179","Itgb8"
"180","Col11a2"
"181","Mycl"
"182","Stk4"
"183","Trp53rka"
"184","Spn"
"185","Prdm10"
"186","Trpm4"
"187","Inppl1"
"188","Slc16a10"
"189","E230008O15Rik"
"190","Zfp712"
"191","Tmco6"
"192","Il1b"
"193","Gm53175"
"194","Zfp33b"
"195","Csf1"
"196","Ubxn7"
"197","4921511I17Rik"
"198","Rcsd1"
"199","Etv5"
"200","Hmgcs1"
"201","Pip4p2"
"202","Carf"
"203","Lyst"
"204","Ccr7"
"205","Armc7"
"206","Med12"
"207","Vsig10l"
"208","Trip11"
"209","Mapkapk3"
"210","Il17rd"
"211","Treml4"
"212","Syne2"
"213","H2-Q6"
"214","Trim13"
"215","Arhgap6"
"216","Traf1"
"217","Hmgcr"
"218","Zfp407"
"219","Ncf1"
"220","Slc39a4"
"221","Tm4sf19"
"222","Plscr1"
"223","Sec24a"
"224","Grk3"
"225","Capn15"
"226","1700109H08Rik"
"227","Dach1"
"228","Osbpl3"
"229","E230013L22Rik"
"230","Ripor2"
"231","Arhgap35"
"232","Plekhm3"
"233","Dennd4a"
"234","Tmem63b"
"235","Ptch1"
"236","Cav1"
"237","Phlda1"
"238","Fnbp1l"
"239","Ier3"
"240","Bcor"
"241","4930487H11Rik"
"242","Slc7a11"
"243","Abcg1"
"244","Kif3c"
"245","Rtl5"
"246","Ets2"
"247","Gm15628"
"248","6330407A03Rik"
"249","Ndrg1"
"250","Plec"
"251","Rest"
"252","Cxcr6"
"253","Susd2"
"254","Prkcd"
"255","Septin11"
"256","Adgrl2"
"257","Ccdc122"
"258","Agpat4"
"259","Pik3r3"
"260","Ttc37"
"261","Ncoa2"
"262","Cdc14a"
"263","Osgin2"
"264","Gm19955"
"265","St18"
"266","Irgq"
"267","Ppp2r3a"
"268","Orai2"
"269","Clec5a"
"270","Bahd1"
"271","Pde2a"
"272","Sh3bp1"
"273","Gm10791"
"274","Plbd2"
"275","Xpo4"
"276","Ehd1"
"277","Rab20"
"278","Nr1h3"
"279","Siglecf"
"280","Slc39a13"
"281","Tbc1d2b"
"282","Vasn"
"283","Pdgfrb"
"284","Nfe2l2"
"285","Acvrl1"
"286","Plekho2"
"287","Irak2"
"288","Nnat"
"289","Abcc1"
"290","Nck2"
"291","Peli3"
"292","Zfp931"
"293","Tspoap1"
"294","Camk2a"
"295","Slc35f6"
"296","Rlim"
"297","Gm19967"
"298","Vps13d"
"299","Zfp867"
"300","Sh3bp5"
"301","Slc23a2"
"302","Grap"
"303","Csrnp1"
"304","Uba6"
"305","Ednrb"
"306","Vopp1"
"307","Tshz1"
"308","Necap1"
"309","Il1a"
"310","Nfat5"
"311","Aebp2"
"312","Asap1"
"313","Ezr"
"314","Tlr2"
"315","Col27a1"
"316","Cmklr1"
"317","Impact"
"318","Slc26a2"
"319","Kdm5c"
"320","C9orf72"
"321","Plppr2"
"322","Pak4"
"323","Hipk1"
"324","Rel"
"325","Itgav"
"326","8030462N17Rik"
"327","Zbed6"
"328","Stap1"
"329","Clec4e"
"330","Csf2rb2"
"331","C920009B18Rik"
"332","Lima1"
"333","Phf8"
"334","Gm16712"
"335","Spi1"
"336","Socs4"
"337","Col10a1"
"338","Ctnnd1"
"339","Hook3"
"340","Slc4a7"
"341","Skil"
"342","Rbpj"
"343","Col18a1"
"344","Atp2b4"
"345","Mir3064"
"346","Rilpl2"
"347","Slc49a4"
"348","Cd83"
"349","Hmox1"
"350","Agrn"
"351","Tbc1d1"
"352","Fchsd2"
"353","Atxn2l"
"354","Gm20235"
"355","Gtf2b"
"356","Stx6"
"357","Rnf170"
"358","Gys1"
"359","Slc11a1"
"360","Pwp1"
"361","4632427E13Rik"
"362","Nfkbie"
"363","Papss2"
"364","Heca"
"365","Kcnrg"
"366","Gripap1"
"367","Kif1b"
"368","Pik3r5"
"369","Yod1"
"370","Tns3"
"371","Fyb"
"372","Rnf180"
"373","Dock10"
"374","Gm10634"
"375","Mob1a"
"376","Txnrd1"
"377","Zfp758"
"378","Nck1"
"379","Clcn6"
"380","Cdyl2"
"381","Myo1e"
"382","Adora2b"
"383","Gm20056"
"384","Zeb2"
"385","Bcl10"
"386","Pstpip2"
"387","Zmynd15"
