"","x"
"1","Ldlrad4"
"2","Arhgap27"
"3","Pip5k1c"
"4","Mical3"
"5","Carmil1"
"6","Ralgapa2"
"7","Ppp1r12b"
"8","Ralgds"
"9","Socs4"
"10","Plbd2"
"11","Abtb2"
"12","Col4a2"
"13","Phldb1"
"14","Eid3"
"15","Esr1"
"16","Gm53175"
"17","Rgs16"
"18","Igf1it"
"19","Rrad"
"20","Efna2"
"21","Zbtb37"
"22","Ezr"
"23","Cpeb4"
"24","Plxnd1"
"25","Tjp2"
"26","Ifrd1"
"27","Ablim2"
"28","Dpep3"
"29","Atg3"
"30","Ptgir"
"31","Plxna2"
"32","Ptafr"
"33","Col10a1"
"34","Ltbp2"
"35","Gm16144"
"36","Sema4d"
"37","Ppfibp1"
"38","Gpr132"
"39","Rarg"
"40","Ampd3"
"41","Mtmr7"
"42","Prdm10"
"43","H2-Q6"
"44","Arrdc4"
"45","Leng8"
"46","Zhx2"
"47","Cish"
"48","Nbeal1"
"49","Gm16907"
"50","Prkcg"
"51","4930594C11Rik"
"52","Carf"
"53","Nfkbid"
"54","4930599N23Rik"
"55","Egr2"
"56","Pot1b"
"57","Cxcl2"
"58","Med12"
"59","Trim14"
"60","Nnat"
"61","Cep170"
"62","Treml4"
"63","Plekhm3"
"64","Nlrp3"
"65","Ptpn22"
"66","Fbxo40"
"67","Col11a2"
"68","Relb"
"69","F830208F22Rik"
"70","Itgae"
"71","Errfi1"
"72","Col19a1"
"73","Vasn"
"74","Lyst"
"75","Kat2a"
"76","Prokr1"
"77","Trps1"
"78","Slc25a37"
"79","Tpst1"
"80","Celsr3"
"81","Myo10"
"82","Micall1"
"83","0610038B21Rik"
"84","Gm19551"
"85","Mir99ahg"
"86","Ptpn23"
"87","D930048N14Rik"
"88","Sqstm1"
"89","H2-Q7"
"90","Brwd3"
"91","Il12rb2"
"92","Gm14636"
"93","Tram2"
"94","Mink1"
"95","Agpat4"
"96","Art2a"
"97","Hivep3"
"98","Uchl4"
"99","Csf2rb2"
"100","Bsn"
"101","C130046K22Rik"
"102","Col27a1"
"103","Ccr9"
"104","Btbd11"
"105","Gm20022"
"106","Prkcd"
"107","Trip11"
"108","Lpar1"
"109","Firre"
"110","B3gnt2"
"111","Sema4b"
"112","9930022D16Rik"
"113","Bgn"
"114","H2-K2"
"115","Tvp23a"
"116","Cxcr6"
"117","Calcrl"
"118","Clcn6"
"119","Abca3"
"120","Gm20199"
"121","Cdk6"
"122","Hivep1"
"123","Slc7a11"
"124","Acvrl1"
"125","Nup98"
"126","Ccdc171"
"127","Tnc"
"128","Fbrsl1"
"129","Capn15"
"130","Insyn2b"
"131","Chpf"
"132","Hvcn1"
"133","Slc7a2"
"134","Susd6"
"135","Hrh2"
"136","Trp53rka"
"137","Mtmr12"
"138","Scd2"
"139","Mtmr14"
"140","Papss2"
"141","Mob1a"
"142","Gm10791"
"143","Dusp16"
"144","Slc39a4"
"145","Arhgap31"
"146","4933439K11Rik"
"147","Sh3bp1"
"148","Tlr2"
"149","Airn"
"150","Plec"
"151","Plpp3"
"152","Cav1"
"153","Abcc1"
"154","Cxcl3"
"155","Pvr"
"156","Cdc14a"
"157","Tctn1"
"158","Cers6"
"159","B230216N24Rik"
"160","Gem"
"161","Dusp2"
"162","Zfp407"
"163","Rsl1"
"164","Mob3b"
"165","Hipk2"
"166","Gripap1"
"167","4931406H21Rik"
"168","Nfkbie"
"169","Igf2r"
"170","1700109H08Rik"
"171","Mocs1"
"172","Fyco1"
"173","Nrp2"
"174","Atg2a"
"175","Slc23a2"
"176","Snn"
"177","Pim1"
"178","Tns3"
"179","Slc2a6"
"180","Ehd1"
"181","Adam4"
"182","Arid5b"
"183","Peli3"
"184","Txlnb"
"185","Tbl1x"
"186","Nlrc4"
"187","Mapkbp1"
"188","Ssc5d"
"189","Col4a5"
"190","Csf1"
"191","Csf2rb"
"192","Atr"
"193","Slc38a7"
"194","Dock4"
"195","Arl5c"
"196","Adra1a"
"197","Mcemp1"
"198","Ap3b1"
"199","Orai2"
"200","Tex12"
"201","Kcnrg"
"202","Zkscan8"
"203","Tnfaip3"
"204","Olfr56"
"205","Adgb"
"206","Rhbdf2"
"207","Layn"
"208","Camta2"
"209","Gm19316"
"210","Smarcd3"
"211","Tspoap1"
"212","Gm17435"
"213","Trib1"
"214","Gm15628"
"215","Malt1"
"216","Taok3"
"217","Akap13"
"218","Tifab"
"219","Armc7"
"220","Gpr137b"
"221","Tsc22d2"
"222","Srgap2"
"223","Adam17"
"224","A830082N09Rik"
"225","Ldlr"
"226","Cx3cl1"
"227","Fos"
"228","Pde4dip"
"229","Jarid2"
"230","Secisbp2l"
"231","Cecr2"
"232","Ak4"
"233","Abr"
"234","Dnmt3aos"
"235","Serpinb8"
"236","Col18a1"
"237","Depp1"
"238","Rasa4"
"239","Mycl"
"240","Pik3r5"
