Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.008475"	"JUN_CH12LX_MM9"	"JUN"	"51"	"1325"	"2.786E-8"	"1.54E-5"	"2.559"	"ENCODE--ChIP-seq"	"PRKCD,FNDC3A,TRIB1,PLBD2,RAB11FIP1,KCNQ1OT1,HIVEP1,HIVEP3,ST3GAL1,LNPEP,NR1D1,EHD1,REL,ATG2A,TNFSF8,LITAF,GPR132,CCR9,GRIPAP1,DUSP2,ZHX2,TM9SF4,TBL1X,ZYX,CHPF,PIM1,TRAFD1,GEM,KIF3B,SLC38A7,SSC5D,IGF2R,NFKBIE,TNFAIP3,PTPN22,DUSP16,ITGAX,UTY,IFT57,CFAP45,ITGA4,TRAF1,CAMK2A,LENG8,IL2RG,MALT1,AGPAT4,P2RY2,MAPK6,MCOLN2,SLC25A37"
"gene_set_query"	"2"	"0.01695"	"JUND_CH12LX_MM9"	"JUND"	"42"	"1148"	"1.255E-6"	"3.46E-4"	"2.428"	"ENCODE--ChIP-seq"	"ARMC7,TRIB1,EZR,RAB11FIP1,KCNQ1OT1,HIVEP1,ST3GAL1,NR1D1,EHD1,TNFSF8,LITAF,AKAP13,GPR132,CCR9,DUSP2,TM9SF4,CSF1,PIM1,TRAFD1,SQSTM1,FBXO40,SLC38A7,SSC5D,IGF2R,NFKBIE,BRWD3,DOCK4,PTPN22,DUSP16,ITGAX,UTY,ITGA4,TRAF1,CAMK2A,LENG8,IL2RG,MALT1,AGPAT4,MAPK6,ATP2B4,MCOLN2,LPIN2"
"gene_set_query"	"3"	"0.02542"	"CTCF_CH12LX_MM9"	"CTCF"	"86"	"3093"	"2.48E-6"	"4.23E-4"	"1.829"	"ENCODE--ChIP-seq"	"MAPKBP1,ERRFI1,TNS3,PRKCG,ARMC7,TRIM14,NUP98,PLBD2,LPAR1,PIK3R5,ABR,PIP5K1C,ST3GAL1,RALGDS,ADHFE1,ABCA3,SETDB2,MICAL3,BTBD11,ABTB2,ATG2A,NRP2,LITAF,MYOF,MINK1,FOS,B3GNT2,MOCS1,SLC29A3,TLR2,PAPSS2,FGD6,HIPK2,TJP2,YPEL2,CHPF,PRDM1,CDC14A,DOCK10,PIM1,TOR3A,COL27A1,CISH,SWAP70,MOB3B,MYCL,ADAM17,TXLNB,DPEP3,HVCN1,AK4,LTBP2,IRAK2,ZKSCAN8,PLXNA2,ESR1,NFKB2,EFNA2,LGALS3BP,DOCK4,TNFAIP3,CXCL3,DUSP16,INSYN2B,ARL5C,PSTPIP2,UTY,ABCC1,ITGA4,ABCC5,RHBDF2,TRAF1,RASA4,TRAF3,PPP1R12B,PLEC,ACSS2,RGS16,MALT1,ABLIM2,P2RY2,MAPK6,TSPOAP1,ANGPT1,MYO10,SLC25A37"
"gene_set_query"	"4"	"0.0339"	"MAFK_CH12LX_MM9"	"MAFK"	"52"	"1616"	"3.564E-6"	"4.23E-4"	"2.126"	"ENCODE--ChIP-seq"	"PRKCG,SLC11A1,PRKCD,FNDC3A,SPATA13,EZR,PLBD2,LPAR1,HIVEP1,HMOX1,PIP5K1C,ABCA3,SETDB2,NR1D1,TREML4,ATR,LITAF,PIP4P2,CCR9,ZHX2,MINK1,FOS,B3GNT2,ENG,PTAFR,ZSWIM4,IL12RB2,YPEL2,SLC39A4,FOXP4,TXLNB,SQSTM1,CALCRL,TMEM26,SLC38A7,ESR1,LRRC63,EFNA2,NFKBIE,PLEKHM3,ITGA4,SECISBP2L,ACSS2,CAMK2A,LENG8,NOD2,IL2RG,MALT1,MAPK6,MCOLN2,SLC25A37,CCDC171"
"gene_set_query"	"5"	"0.04237"	"CEBPB_C2C12_MM9"	"CEBPB"	"44"	"1285"	"3.83E-6"	"4.23E-4"	"2.267"	"ENCODE--ChIP-seq"	"IFRD1,ORAI2,TRIB1,HMOX1,NR1D1,EHD1,SLC7A11,TRAM2,LITAF,AKAP13,OLR1,ZHX2,B3GNT2,HSD17B7,TM9SF4,TBL1X,TNC,CDC14A,PIM1,TOR3A,ARID5B,TXLNB,SQSTM1,PXK,CALCRL,NDRG1,TBC1D13,SLC38A7,ESR1,PTPRE,TGFBI,FLT1,TNFAIP3,PTPN23,DUSP16,PSTPIP2,ABCC5,PLEC,ACSS2,NNAT,TSPOAP1,ANGPT1,CLCN6,SLC25A37"
"gene_set_query"	"6"	"0.05085"	"RELA_GM12878_HG19"	"RELA"	"29"	"724"	"8.299E-6"	"7.64E-4"	"2.668"	"ENCODE--ChIP-seq"	"ICAM1,PLPP3,HIVEP1,EGR2,PPFIBP2,REL,DUSP2,RELB,ZSWIM4,CSF1,DOCK10,ZBTB37,TXLNB,SNN,GRK3,ESR1,NFKB2,ARHGAP31,MDM4,NFKBIE,NFKBID,TNFAIP3,TRAF1,NOD2,IL2RG,RFFL,TSPOAP1,MCOLN2,TNIP1"
"gene_set_query"	"7"	"0.05932"	"IKZF1_GM12878_HG19"	"IKZF1"	"55"	"1836"	"1.402E-5"	"0.00111"	"1.974"	"ENCODE--ChIP-seq"	"ICAM1,PRKCD,TRIM14,TRIB1,PLPP3,PRDM10,PIK3R5,RAB11FIP1,HIVEP1,CARMIL1,EHD1,PPFIBP2,MTMR14,LITAF,LYST,AKAP13,GPR132,CCR9,JARID2,DUSP2,MYOF,AP3B1,B3GNT2,ZSWIM4,PRDM1,DOCK10,SWAP70,ZBTB37,ADAM17,TXLNB,HVCN1,GRK3,NLRP3,NADK,ESR1,ARHGAP31,CDK6,NFKBIE,BRWD3,TNFAIP3,PTPN22,DUSP16,CEP170,PTGIR,ITGA4,TRAF1,FGR,RGS16,NOD2,MALT1,RFFL,TSPOAP1,ATP2B4,MCOLN2,TNIP1"
"gene_set_query"	"8"	"0.0678"	"ETS1_MELCELLLINE_MM9"	"ETS1"	"48"	"1614"	"4.953E-5"	"0.00304"	"1.96"	"ENCODE--ChIP-seq"	"ARMC7,EZR,ZC3HAV1,PRDM10,RAB11FIP1,HIVEP1,HMOX1,ST3GAL1,LYN,EGR2,ABCA3,SETDB2,LNPEP,NR1D1,REL,ATG2A,AIRN,MTMR12,MTMR14,SLC7A11,LITAF,GPR132,GRIPAP1,FOS,B3GNT2,RELB,TBL1X,YPEL2,CHPF,DOCK10,PIM1,CISH,ZBTB37,CLEC4E,NDRG1,KIF3B,MOB1A,LGALS3BP,DUSP16,ARL5C,UTY,SECISBP2L,ABCC5,RHBDF2,MAPK6,ANGPT1,ATP2B4,LPIN2"
"gene_set_query"	"9"	"0.07627"	"ZNF384_ESE14_MM9"	"ZNF384"	"49"	"1690"	"7.596E-5"	"0.00381"	"1.909"	"ENCODE--ChIP-seq"	"MAPKBP1,GOLGA3,LIPE,PRKAB2,PLPP3,PLBD2,ZC3HAV1,MTMR7,KCNQ1OT1,HIVEP3,CARMIL1,ADHFE1,BTBD11,PPFIBP2,ATG2A,SLC7A11,TRAM2,JARID2,ZHX2,FOS,KAT2A,B3GNT2,HSD17B7,TM9SF4,TAOK3,TJP2,PLXND1,TNC,PRDM1,RALGAPA2,TRAFD1,MID1,MYCL,ADAM17,DPEP3,CCDC146,AK4,IRAK2,ZKSCAN8,USB1,PLEKHM3,DOCK4,FLT1,ADRA1A,INSYN2B,TRPS1,RGS16,TRIM36,LPIN2"
"gene_set_query"	"10"	"0.08475"	"ZKSCAN1_MELCELLLINE_MM9"	"ZKSCAN1"	"12"	"204"	"1.054E-4"	"0.00485"	"3.996"	"ENCODE--ChIP-seq"	"LDLRAD4,ICAM1,PIP5K1C,MTMR12,PELI3,TBL1X,TAOK3,DOCK10,SNN,ARHGAP27,ITGAX,SH3BP1"
