source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:BP,defense response to other organism,GO:0098542,1.75E-13,12.75814211,1218,90,28,27543,"CD86,IL12B,GBP7,PLD4,SLAMF6,CXCL10,JAK2,AIF1,IFITM1,IFIT1,NMI,BST2,IL27,EDN1,ANXA1,CCL4,CCL3,BATF,PRDX1,IL6,ADAMTS4,CCL7,IFITM2,IFI35,ISG15,IL1B,STXBP3,CLEC2D"
GO:BP,response to interferon-gamma,GO:0034341,4.10E-12,11.38773999,149,90,13,27543,"IL12B,GBP7,JAK2,AIF1,IFITM1,NMI,BST2,EDN1,CCL4,CCL3,CCL7,IFITM2,STXBP3"
GO:BP,response to cytokine,GO:0034097,4.61E-12,11.33597781,1155,90,26,27543,"MIR155,IL12B,GBP7,CXCL10,JAK2,AIF1,USP25,IL2RA,HSPA1B,IFITM1,IFIT1,NMI,BST2,EDN1,ANXA1,CCL4,CCL3,KMO,SOCS3,CD38,IL6,CCL7,IFITM2,ISG15,IL1B,STXBP3"
GO:BP,regulation of lymphocyte proliferation,GO:0050670,4.40E-11,10.35693585,228,90,14,27543,"CD86,IL12B,SDC4,JAK2,AIF1,IL2RA,SOS1,IL4I1,IL27,ANXA1,CD38,LST1,IL6,IL1B"
GO:BP,regulation of mononuclear cell proliferation,GO:0032944,5.59E-11,10.25258435,232,90,14,27543,"CD86,IL12B,SDC4,JAK2,AIF1,IL2RA,SOS1,IL4I1,IL27,ANXA1,CD38,LST1,IL6,IL1B"
GO:BP,regulation of leukocyte proliferation,GO:0070663,1.74E-10,9.758285752,252,90,14,27543,"CD86,IL12B,SDC4,JAK2,AIF1,IL2RA,SOS1,IL4I1,IL27,ANXA1,CD38,LST1,IL6,IL1B"
GO:BP,lymphocyte proliferation,GO:0046651,2.22E-10,9.652723673,317,90,15,27543,"CD86,IL12B,SDC4,SLAMF6,JAK2,AIF1,IL2RA,SOS1,IL4I1,IL27,ANXA1,CD38,LST1,IL6,IL1B"
GO:BP,mononuclear cell proliferation,GO:0032943,2.67E-10,9.573663232,321,90,15,27543,"CD86,IL12B,SDC4,SLAMF6,JAK2,AIF1,IL2RA,SOS1,IL4I1,IL27,ANXA1,CD38,LST1,IL6,IL1B"
GO:BP,cellular response to cytokine stimulus,GO:0071345,4.11E-10,9.386449559,1045,90,23,27543,"MIR155,IL12B,GBP7,CXCL10,JAK2,AIF1,USP25,IL2RA,HSPA1B,IFITM1,IFIT1,NMI,EDN1,CCL4,CCL3,KMO,SOCS3,IL6,CCL7,IFITM2,ISG15,IL1B,STXBP3"
GO:BP,leukocyte proliferation,GO:0070661,9.32E-10,9.030551658,350,90,15,27543,"CD86,IL12B,SDC4,SLAMF6,JAK2,AIF1,IL2RA,SOS1,IL4I1,IL27,ANXA1,CD38,LST1,IL6,IL1B"
GO:BP,regulation of T cell proliferation,GO:0042129,1.15E-09,8.938332887,178,90,12,27543,"CD86,IL12B,SDC4,JAK2,AIF1,IL2RA,SOS1,IL4I1,IL27,ANXA1,IL6,IL1B"
GO:BP,cytokine-mediated signaling pathway,GO:0019221,2.59E-09,8.586006516,451,90,16,27543,"IL12B,CXCL10,JAK2,USP25,IL2RA,HSPA1B,IFITM1,NMI,EDN1,CCL4,CCL3,IL6,CCL7,IFITM2,ISG15,IL1B"
GO:BP,response to stimulus,GO:0050896,2.63E-09,8.580299492,10393,90,67,27543,"CD86,MILR1,MIR155,IL12B,GBP7,SDC4,PLD4,SLAMF6,CP,CXCL10,GPR18,BTG2,JAK2,CD52,STK40,RHOQ,AIF1,USP25,MARCKS,IL2RA,CD69,ARHGDIB,SOS1,HSPA1B,IFITM1,AHR,IFIT1,IL4I1,MARF1,DGKH,NMI,BST2,MS4A7,IL27,PITPNC1,UPP1,CTSC,EDN1,ANXA1,ADORA2A,CCL4,CCL3,SLC31A1,BATF,RAB12,CHORDC1,KMO,NUPR1,SOCS3,PRDX1,TLK2,CD38,LST1,PTTG1,DPYSL2,IL6,ADAMTS4,TENT5A,CCL7,IFITM2,IFI35,ISG15,IL1B,TNIP3,SELENOT,STXBP3,CLEC2D"
GO:BP,T cell proliferation,GO:0042098,1.02E-08,7.991273803,214,90,12,27543,"CD86,IL12B,SDC4,JAK2,AIF1,IL2RA,SOS1,IL4I1,IL27,ANXA1,IL6,IL1B"
GO:BP,cellular response to interferon-gamma,GO:0071346,1.39E-08,7.855787785,121,90,10,27543,"IL12B,GBP7,JAK2,AIF1,NMI,EDN1,CCL4,CCL3,CCL7,STXBP3"
GO:BP,negative regulation of cell population proliferation,GO:0008285,4.41E-08,7.355901118,736,90,18,27543,"CD86,IL12B,SDC4,BTG2,JAK2,AIF1,IL2RA,HSPA1B,IFITM1,IL4I1,NMI,ADORA2A,NUPR1,LST1,PTTG1,IL6,IFI35,IL1B"
