"","x"
"1","Cxcr3"
"2","Nos2"
"3","Slamf1"
"4","Tnfsf4"
"5","Edn1"
"6","Asprv1"
"7","Cp"
"8","Gstt4"
"9","Heatr9"
"10","Pecam1"
"11","Gem"
"12","Vcam1"
"13","Spic"
"14","Saa3"
"15","Il15ra"
"16","Pfkfb3"
"17","Il10"
"18","Calhm6"
"19","Mefv"
"20","Ifitm1"
"21","Trim30c"
"22","Chdh"
"23","Lcn2"
"24","Serpine1"
"25","Cxcl11"
"26","Zfp558"
"27","Slc28a2"
"28","Pdpn"
"29","Trim30b"
"30","Il1rn"
"31","Gm5150"
"32","Maf"
"33","Il4ra"
"34","Ccr7"
"35","Slfn4"
"36","Ccnd2"
"37","C3"
"38","Ch25h"
"39","Marf1"
"40","Cnn3"
"41","Asap3"
"42","Camk2a"
"43","Stimate"
"44","Gbp5"
"45","Batf"
"46","Il2ra"
"47","Ciita"
"48","Yju2"
"49","Mxd1"
"50","Slc7a2"
"51","Inhba"
"52","Ndrg1"
"53","Gm6377"
"54","Rasgrp1"
"55","Ovol1"
"56","Ms4a4a"
"57","Batf2"
"58","Cd200"
"59","Zbtb32"
"60","Lmo4"
"61","Il27"
"62","Dtx2"
"63","Ifnb1"
"64","Cfb"
"65","Lta"
"66","Txn1"
"67","Gbp11"
"68","Flrt3"
"69","Slco3a1"
"70","Gpc1"
"71","Adora2a"
"72","AA467197"
"73","Cd83"
"74","Gbp6"
"75","Olfr56"
"76","Otud1"
"77","F10"
"78","Zfp422"
"79","Plcl2"
"80","Stat5a"
"81","Upp1"
"82","Il15"
"83","Ccdc173"
"84","1110038F14Rik"
"85","Tnip3"
"86","Nupr1"
"87","Vcan"
"88","Tnfsf15"
"89","H2-Q4"
"90","Ifi205"
"91","Pi4k2b"
"92","Tnfrsf8"
"93","Ppfia3"
"94","AW112010"
"95","Phip"
"96","Adprm"
"97","Stat3"
"98","Cd274"
"99","9130230L23Rik"
"100","Nfil3"
"101","Hspa1b"
"102","Slamf7"
"103","Arid5a"
"104","Susd2"
"105","Phospho2"
"106","Bcl2a1a"
"107","Clec2d"
"108","Casp7"
"109","Bambi-ps1"
"110","Tnfsf10"
"111","Mier3"
"112","Sco1"
"113","Rapgef5"
"114","Iigp1"
"115","Dyrk2"
"116","Fam133b"
"117","Jak2"
"118","Lipg"
"119","Fndc7"
"120","Dgat2"
"121","Cst7"
"122","Ms4a4d"
"123","Rnf19b"
"124","Msi2"
"125","Gm4951"
"126","Spsb1"
"127","Cflar"
"128","Gbp4"
"129","Tbc1d13"
"130","Srgap3"
"131","Gstt1"
"132","Zfp456"
"133","Lhx2"
"134","Grap"
"135","Enpp4"
"136","Cbx7"
"137","Mir155"
"138","Spta1"
"139","Hp"
"140","Gm19854"
"141","Clec1a"
"142","Rhof"
"143","Car13"
"144","Irf8"
"145","Palld"
"146","Fgl2"
"147","F730043M19Rik"
"148","Zeb1"
"149","Rubcnl"
"150","Ccl5"
"151","Tnfsf8"
"152","D730005E14Rik"
"153","Ccrl2"
"154","Lpar1"
"155","Gpr141"
"156","Bfar"
"157","Fap"
"158","Mmp25"
"159","Xkr8"
"160","Plaat3"
"161","A630012P03Rik"
"162","Ptpn11"
"163","Ccdc71l"
"164","Casz1"
"165","Cacna1d"
"166","Gca"
"167","Gadd45b"
"168","Rsad2"
"169","Cd52"
"170","Nod1"
"171","Cpeb3"
"172","Phf11"
"173","Ifi214"
"174","Oaf"
"175","Ms4a4c"
"176","Cd38"
"177","Ppp4r2"
"178","Pdgfrl"
"179","Bmp2k"
"180","BC023105"
"181","4632415L05Rik"
"182","Gpr132"
"183","Ifit1bl1"
"184","St3gal3"
"185","Gda"
"186","Ifi208"
"187","Tmem171"
"188","Ric1"
"189","F630111L10Rik"
"190","Sbno2"
"191","Klf6"
"192","Fut8"
"193","Fbn1"
"194","Zc3h12d"
"195","Gm12185"
"196","Cd40"
"197","Hspbap1"
"198","Anp32a"
"199","Tgtp2"
"200","Rab21"
"201","Mx1"
"202","Nt5c3"
"203","Clec9a"
"204","G530011O06Rik"
"205","Bahd1"
"206","Ext1"
"207","Atxn7l1"
"208","Crim1"
"209","Clec1b"
"210","Pgf"
"211","Tgtp1"
"212","Rab12"
"213","Homer1"
"214","Traf1"
"215","Mbd2"
"216","Clic5"
