Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.008475"	"STAT2_K562_HG19"	"STAT2"	"51"	"252"	"3.732E-25"	"2.06E-22"	"7.663"	"ENCODE--ChIP-seq"	"PI4K2B,EPSTI1,GTPBP2,PRPF38A,EIF2AK2,IFIH1,BATF2,PSMA3,STAT3,CSF1,FOXP1,CD274,RHOBTB3,SOCS1,MYD88,ARL5B,ADAMTS6,TRIM56,DNAJA1,IFITM1,IFIT1,IFIT2,TNFSF10,LGALS9,B2M,TRIM21,HERC6,RSAD2,XRN1,HELZ2,N4BP1,NMI,BST2,DCP1A,CD33,AZI2,CMPK2,DDX60,PHF11,ISG15,ISG20,GNB4,TENT5A,AIM2,IRF7,SLFN5,SAMHD1,USP18,MX2,MX1,RBM43"
"gene_set_query"	"2"	"0.01695"	"JUN_CH12LX_MM9"	"JUN"	"127"	"1325"	"1.201E-24"	"3.32E-22"	"3.202"	"ENCODE--ChIP-seq"	"MILR1,DLEU2,GBP7,FNDC3A,GTPBP2,CNBD2,AMZ2,ST3GAL1,HOMER1,APOOL,CP,NAPEPLD,TNFSF8,CLINT1,PIGV,GPR132,JAK2,FCRL5,DUSP1,TET2,SIRT6,KAT2B,AFTPH,CDC42EP4,TANK,SNX27,LRRC25,P2RY13,CCL22,PCGF5,STAT3,PSMB8,KTN1,RNF19B,TNFRSF8,MAP3K8,ZBTB32,ARMCX6,CD274,NOTCH1,GSTT4,LY96,SLC38A6,SRGAP3,SOCS7,SKIL,YJU2,CXCL10,SYNJ1,ADAMTS6,ITGA4,TRAF1,PPM1B,BIRC6,PPP1R15B,FURIN,AP3M2,VPS54,SEC23B,DDHD1,MCOLN2,MARCKS,KLF6,IL2RA,IL15RA,FNDC7,PLPP1,EBI3,MTTP,HELZ2,INPP5B,MBTD1,RAB11FIP1,HIVEP1,SLAMF6,IFI44,LACC1,GRAP,CD40,GLIPR2,CCR9,IL10,CD52,IL15,IL18,STK40,TLR3,AIF1,STX11,AMN1,CCNG2,APBA1,CD69,CD86,MIR155,PPFIA3,ZBP1,ARID5A,GEM,PHOSPHO2,SBDS,WDFY2,FUT8,PRNP,CBX7,PTCH1,CRIM1,POU2F2,ISG20,NFKBIE,MXD1,TNFAIP3,AFF1,CASP7,CASP4,CASP1,SRGN,AIM2,IRF7,CAMK2A,PRRG4,GBP2,GBP3,USP25,NOS2,MX1,CCDC173"
"gene_set_query"	"3"	"0.02542"	"IKZF1_GM12878_HG19"	"IKZF1"	"151"	"1836"	"3.562E-22"	"6.55E-20"	"2.706"	"ENCODE--ChIP-seq"	"SERPINE1,GLS,ZC3H12D,ALCAM,EPSTI1,GBP6,RFX5,AMZ2,ST3GAL3,FZD1,TNFSF4,TREML2,NAPEPLD,TNFSF9,RCSD1,CLINT1,PIGV,IFIH1,GPR132,JAK2,FCRL5,KAT2B,PSMA3,ZEB1,CDC42EP4,RICTOR,CEPT1,CCL22,GK,MBD2,TTC9C,TMCO4,PSMB8,DGKA,RAB43,TNFRSF8,MAP3K8,KPNA4,ZBTB32,DGKH,ANKRD17,CD274,PFKFB3,LY96,SAV1,SLC15A3,SKIL,LY86,CIITA,ARL5B,PPP6R1,UPP1,ADAMTS6,ITGA4,APAF1,TRAF1,ADORA2A,TMBIM4,PBXIP1,FURIN,MLLT3,MLLT6,TIFA,SH3BP5,RAB29,LRRC8C,E2F5,DRAM2,SEMA4A,PTPN11,CFLAR,MCOLN2,MARCKS,RAB12,IL1RN,IFITM1,IFIT1,HERC6,IL15RA,SLC11A2,MARF1,RUBCNL,SP140,EBI3,RAB11FIP1,HIVEP1,SLAMF7,SLAMF1,GADD45B,TNFSF15,NMI,BST2,ZBTB6,CD200,CD40,IL27,AKAP13,CCR9,CCR7,CD52,EDN1,IL15,PARP8,TLR1,CD48,TLR7,AIDA,XIAP,STX11,CXCR3,SLC31A1,BATF,CD69,CRTC2,CCND2,MIR155,ZBP1,ARID5A,STIMATE,WDFY2,DDX6,ARHGAP17,RASGRP1,GRK3,MLKL,DENND4A,CRIM1,ISG20,SELL,IL7,NFKBIE,BRWD3,USP32,TNFAIP3,AFF1,SPRED1,CASP4,SRGN,PPP2R5A,ETV3,ETV6,HSH2D,AIM2,TMEM219,B4GALT5,SAMHD1,USP18,TRA2A,GBP4,MX2,SCIMP"
"gene_set_query"	"4"	"0.0339"	"RELA_GM12878_HG19"	"RELA"	"82"	"724"	"2.717E-21"	"3.75E-19"	"3.857"	"ENCODE--ChIP-seq"	"ZC3H12D,ALCAM,GTPBP2,RFX5,TNFSF4,RCSD1,CLINT1,PIGV,IFIH1,AFTPH,TANK,CSF1,MAP3K8,ZBTB32,SLC9A8,PHIP,LY96,SNN,TNFRSF14,SKIL,LY86,LHX2,CIITA,PIK3CD,TRAF1,BMP2K,PPP1R15B,MLLT6,AP3M2,RAB21,CCL5,TIFA,WHAMM,CFLAR,MCOLN2,SORL1,MARCKS,KLF6,RAB12,CLEC2D,IL1RN,B2M,MARF1,RUBCNL,EBI3,HIVEP1,SLAMF7,SLAMF1,STAT5A,GADD45B,TNFSF15,NMI,CD40,IL27,TYK2,PARP8,TLR1,CD48,TLR7,STX11,RFTN1,BATF,FAS,CD69,UBE2Z,MIR155,ZBP1,ARHGAP17,GRK3,VCAM1,DENND4A,SELL,IL7,NFKBIE,NFKBIB,TNFAIP3,SRGN,ABCC4,ETV6,AIM2,USP18,GBP4"
"gene_set_query"	"5"	"0.04237"	"JUND_CH12LX_MM9"	"JUND"	"108"	"1148"	"6.78E-21"	"7.49E-19"	"3.136"	"ENCODE--ChIP-seq"	"MILR1,DLEU2,GBP6,GBP5,GBP7,GTPBP2,FAM133B,CH25H,CNBD2,BLOC1S6,ST3GAL1,TREML2,TNFSF8,CLINT1,PIGV,GPR132,JAK2,DUSP1,TET2,SIRT6,PSMA5,KAT2B,AFTPH,AEBP2,GAS7,TANK,LRRC25,P2RY13,PCGF5,STAT3,PSMB8,KTN1,RNF149,HSPA1B,CSF1,RNF19B,ADORA3,TNFRSF8,ZBTB32,ARMCX6,CD274,NOTCH1,GSTT4,LY96,SKIL,YJU2,CXCL10,CLEC1A,ADAMTS6,ITGA4,TRAF1,PPM1B,BIRC6,SOS1,PPP1R15B,FURIN,VPS54,SEC23B,MCOLN2,IL2RA,IL15RA,PLPP1,EBI3,HELZ2,MBTD1,RAB11FIP1,HIVEP1,SLAMF6,IFI44,LACC1,CD40,AKAP13,CCR9,IL10,CD52,IL15,STK40,TLR3,AIF1,STX11,AMN1,GCA,FAS,CD69,LMO4,PHOSPHO2,SBDS,WDFY2,FUT8,PRNP,PTCH1,POU2F2,NFKBIE,MXD1,BRWD3,CASP7,CASP4,CASP1,SRGN,AIM2,CAMK2A,PRRG4,GBP2,GBP3,USP25,NOS2,MX1,CCDC173"
"gene_set_query"	"6"	"0.05085"	"STAT1_K562_HG19"	"STAT1"	"51"	"321"	"2.833E-20"	"2.61E-18"	"5.705"	"ENCODE--ChIP-seq"	"EPSTI1,GBP5,GTPBP2,GSDMD,EIF2AK2,IL18BP,IFIH1,BATF2,PSMA3,STAT3,PSMB8,CCDC71L,CSF1,IFNAR2,FOXP1,RHOBTB3,SOCS3,MYD88,TRIM56,IFITM1,IFIT1,TNFSF10,B2M,TRIM21,HERC6,RSAD2,ALPK1,HELZ2,N4BP1,NMI,BST2,CD33,C1RL,AZI2,CMPK2,DDX60,DENND4A,PHF11,ISG15,ISG20,GNB4,CASP7,TENT5A,AIM2,IRF7,SLFN5,SAMHD1,USP18,MX2,MX1,RBM43"
"gene_set_query"	"7"	"0.05932"	"MAFK_CH12LX_MM9"	"MAFK"	"114"	"1616"	"3.132E-13"	"2.16E-11"	"2.292"	"ENCODE--ChIP-seq"	"MILR1,DLEU2,GBP7,FNDC3A,CD2AP,PSME2,AMZ2,TIPARP,TREML2,RCSD1,CLINT1,PIGV,CASP12,DUSP1,SIRT6,PSMA5,KAT2B,AFTPH,PSMA3,AEBP2,TANK,CEPT1,P2RY13,CCL22,PCGF5,STAT3,PSMB8,PSMB9,DCBLD2,MSI2,TNFRSF8,NOTCH1,LY96,SAV1,SOCS3,YJU2,LY86,LRRC63,CXCL10,SYNJ1,CLEC1A,TLK2,ITGA4,BIRC6,CEBPD,FGL2,PPM1K,ZNRF3,BAHD1,WHAMM,DRAM2,DDHD1,MCOLN2,DNAJA1,IL2RA,IFIT1,TNFSF10,AGFG1,IL15RA,FNDC7,PLPP1,EBI3,LPAR1,MBTD1,HIVEP1,GADD45B,TMEM50B,LACC1,ZBTB6,CLIC5,CD40,CCR9,CD38,CD52,PARP3,IL15,STK40,TLR3,STX11,KANSL1L,SUSD2,RFTN1,THEMIS2,CCNG2,FAS,APBA1,CD69,LMO4,ARID5A,NUPR1,DDX6,SPTA1,MLKL,CRIM1,TCF4,NFKBIE,ACBD3,LRP11,AFF1,CASP7,CASP4,CASP1,SRGN,ETV3,AIM2,LTA,IRF7,CAMK2A,GBP3,IGBP1,NOS2,MX1,TTC19,RBM43"
"gene_set_query"	"8"	"0.0678"	"ETS1_MELCELLLINE_MM9"	"ETS1"	"111"	"1614"	"2.673E-12"	"1.48E-10"	"2.23"	"ENCODE--ChIP-seq"	"MILR1,RABGEF1,NUB1,TFG,DLEU2,GBP7,GTPBP2,RFX5,PSME2,GUCD1,ST3GAL1,HOMER1,TIPARP,ELL2,TREML2,RCSD1,GPR132,MED13,CSRP1,DUSP1,VWA5A,GNL1,PSMA5,KAT2B,AFTPH,PSMA4,OAF,CDC42EP4,JDP2,RICTOR,STAT3,MBD2,PSMB8,PSMB9,CENPJ,CRLF3,MSI2,ZFP36,MYLIP,CD274,LY96,SOCS1,TNFRSF14,SKIL,GFPT1,UPP1,ADAMTS6,TRIM56,RNF31,PPM1K,MLLT3,AP3M2,ZNRF3,TIFA,LRRC8C,WHAMM,PLCL2,CFLAR,KLF3,KLF6,LST1,LGALS9,B2M,HERC6,RSAD2,SLC11A2,XRN1,PLPP1,ANP32A,SP140,RAB11FIP1,MIER3,HIVEP1,STAT5B,TMEM50B,NMI,CREBRF,STK40,AIF1,STX11,KANSL1L,RANBP2,PLEKHA4,CCND2,CCRL2,AZI2,ARID5A,RPGRIP1L,WDFY2,NUPR1,TOR1AIP2,NDRG1,SPTA1,DENND4A,ISG15,KLHL24,ISG20,ACBD3,USP32,AFF1,CASP3,SRGN,ABCC4,TENT5A,TMEM219,SLFN5,GBP3,USP25,MX2,TNIP3,RBM43"
"gene_set_query"	"9"	"0.07627"	"GATA2_ENDOTHELIALCELLOFUMBILICALVEIN_HG19"	"GATA2"	"111"	"1809"	"1.484E-9"	"5.85E-8"	"1.974"	"ENCODE--ChIP-seq"	"SERPINE1,GLS,ALCAM,LIPG,AKT3,DDX17,CD2AP,NAPEPLD,HBP1,CPEB3,ARF4,CSRP1,DUSP1,ELMOD2,VWA5A,KAT2B,ZEB1,PSMA4,AEBP2,PTGS2,TANK,KTN1,RNF145,RNF149,UBE2D1,IL1RAP,SLC8A1,KPNA4,CD274,GPR85,SLC38A6,CXCL11,BCL3,INSL6,UPP1,DNM1L,ADAMTS6,CEMIP2,NPC2,PECAM1,MET,TRIM56,FURIN,RAB20,CCL5,SH3BP5,SH3BP4,VPS54,AHNAK2,CFLAR,B2M,RIN2,STXBP3,GADD45B,TNFSF15,GNG12,TMCC3,RGL1,DCP1A,CLEC9A,TMED5,EDN1,IL18,TYK2,MAPRE2,STK40,DCP2,XIAP,STX11,SERTAD3,RANBP2,PLEKHA4,BATF,FAS,PTTG1,MIR155,CCRL2,BAHCC1,ARID5B,PROCR,PHOSPHO2,CMPK2,NDRG1,CNN3,PRNP,MLKL,KLHL28,CRIM1,INHBA,KLHL24,ISG20,NFKBIB,TNFAIP3,SPRED1,CASP7,CASP3,CASP4,CASP1,SRGN,ABCC4,ETV6,LATS1,B4GALT5,SLFN5,USP18,THBS1,GBP2,GBP3,IGBP1,USP25,TTC19"
"gene_set_query"	"10"	"0.08475"	"SPI1_GM12891_HG19"	"SPI1"	"70"	"985"	"3.788E-9"	"1.31E-7"	"2.31"	"ENCODE--ChIP-seq"	"RABGEF1,TFG,CLP1,SCO1,TIPARP,TREML2,MS4A4A,IL18BP,GPR132,FCRL5,PSMA3,JDP2,AOAH,TANK,LRRC25,CCL22,TTC9C,PSMB8,CXCL16,KPNA4,LY96,ADAP2,LY86,SYNJ1,MYD88,CIITA,PIK3CD,SUMO1,TAGAP,ITGA4,IL2RA,IFITM1,TNFSF10,LGALS9,MBTD1,SLAMF7,SLAMF6,LACC1,ZBTB6,ZUP1,GRAP,CCR7,CD52,EDN1,DCP2,CXCR3,IFNB1,RFTN1,FAS,CD86,CCRL2,C1RL,AZI2,CMPK2,DTX2,STK4,MLKL,KLHL28,DIAPH2,IL7,NFKBIE,TTC26,GMPPB,CASP4,CNPPD1,PLA2G4A,ETV6,IRF7,GBP3,SCIMP"
