"","x"
"1","Saa3"
"2","Rasgrp1"
"3","Il27"
"4","Ptgs2"
"5","Gem"
"6","Rhof"
"7","Adora2a"
"8","Nos2"
"9","Ch25h"
"10","Vcam1"
"11","Acod1"
"12","Nupr1"
"13","Ccl4"
"14","Bcl2a1a"
"15","Clec2d"
"16","Rgs3"
"17","Il15ra"
"18","Spic"
"19","Heatr9"
"20","Ptges"
"21","Ccrl2"
"22","Ccl3"
"23","Lmo4"
"24","Cxcl11"
"25","Pgf"
"26","Marf1"
"27","Fas"
"28","Cxcl10"
"29","Icosl"
"30","Traf1"
"31","Socs2"
"32","Nck1"
"33","Pdpn"
"34","Ciita"
"35","Gadd45b"
"36","Flrt3"
"37","Il15"
"38","Mxd1"
"39","Clec4e"
"40","H2-Q4"
"41","Slc49a4"
"42","Batf"
"43","Cd69"
"44","Asprv1"
"45","Il1a"
"46","Lrrc8c"
"47","Ccl22"
"48","Il20rb"
"49","Bcl2a1d"
"50","Ccng2"
"51","Zfp456"
"52","C3"
"53","Gstt1"
"54","Lst1"
"55","Rab11fip1"
"56","Lrrc75a"
"57","Plpp1"
"58","Nfkbie"
"59","F10"
"60","Rnd1"
"61","Tnfsf4"
"62","Lta"
"63","St3gal3"
"64","Tnfsf15"
"65","Tnfaip2"
"66","Fpr2"
"67","Jdp2"
"68","Gm20367"
"69","Irf1"
"70","Rab12"
"71","Nod1"
"72","Ifnb1"
"73","Gbp5"
"74","Zbtb32"
"75","AI504432"
"76","Lpar1"
"77","Mir155"
"78","BC028528"
"79","Camk2a"
"80","Calhm6"
"81","Ppp4r2"
"82","Psmd10"
"83","Efna2"
"84","H2-Ab1"
"85","Gpc1"
"86","Cst7"
"87","Ly86"
"88","Selenow"
"89","Jak2"
"90","Cd200"
"91","Rsph9"
"92","Crim1"
"93","Bcl2a1c"
"94","Hspa1b"
"95","AW112010"
"96","Arhgef3"
"97","Lyrm1"
"98","Trip10"
"99","Grap"
"100","Arl5c"
"101","Hcar2"
"102","Tnfrsf1b"
"103","Ggct"
"104","Gpr132"
"105","Pdgfrl"
"106","Gas7"
"107","Aif1"
"108","Cflar"
"109","A930015D03Rik"
"110","Fpr1"
"111","Rnf19b"
"112","Sema4a"
"113","Plcl2"
"114","Mthfsl"
"115","Clec12a"
"116","Hspa1a"
"117","Mapkapk2"
"118","AA467197"
"119","Osbpl3"
"120","Bst2"
"121","Slc7a2"
"122","Psme2"
"123","Gm6377"
"124","Sbds"
"125","Tbc1d2b"
"126","Gpr141"
"127","Mylip"
"128","Batf2"
"129","H2-Q7"
"130","Plaat3"
"131","Nod2"
"132","Ifi205"
"133","Snx20"
"134","H2-K2"
"135","Tagap"
"136","Ccl9"
"137","Src"
"138","H2-Aa"
"139","Trim13"
"140","Icam1"
"141","Znrf3"
"142","2310001H17Rik"
"143","Hp"
"144","Dyrk2"
"145","Malt1"
"146","Cfb"
"147","Gbp6"
"148","Akap6"
"149","Bcl2a1b"
"150","Cd74"
"151","Igbp1"
"152","9130230L23Rik"
"153","Inhba"
"154","Foxp4"
"155","Crbn"
"156","Enpp4"
"157","H2-M2"
"158","Gm15266"
"159","Sdc4"
"160","Spta1"
"161","D130040H23Rik"
"162","Ms4a6d"
"163","Dcbld2"
"164","Tgtp1"
"165","4933412E12Rik"
"166","Zfp429"
"167","Ccl8"
"168","Gda"
"169","Gpr85"
"170","Tmbim4"
"171","AI837181"
"172","Psme1"
"173","Tmem171"
"174","Zfp558"
"175","Tank"
"176","Shisa3"
"177","Gucd1"
"178","Ms4a6c"
"179","Zxda"
"180","Lrrc63"
"181","Tifa"
"182","Cd274"
"183","Ms4a4c"
"184","Casp4"
"185","Sumo1"
"186","St3gal6"
"187","F830208F22Rik"
"188","Dusp28"
"189","Psma4"
"190","Btg2"
"191","Rab20"
"192","Insl6"
"193","Sat1"
"194","Tnfsf9"
"195","Ctsz"
"196","Dnaaf3"
"197","Ddit3"
"198","Casp1"
"199","Gm53175"
"200","H2-T23"
"201","Skil"
"202","Serpinb9"
"203","Mllt6"
"204","Slfn2"
"205","Morrbid"
"206","Sowahc"
"207","Tlr1"
"208","Irgm1"
"209","Mfsd7a"
"210","Psma5"
"211","Aebp2"
"212","Usp18"
"213","Serinc3"
"214","Gca"
"215","Traf2"
"216","Gm15133"
"217","Hbp1"
"218","Ptafr"
"219","Btg1"
"220","Birc3"
"221","4833419F23Rik"
"222","Stxbp3"
"223","Klf6"
"224","Slc31a1"
"225","Rab29"
"226","Tlk2"
"227","Spryd7"
"228","Rab21"
"229","Aim2"
"230","Mier3"
"231","Max"
"232","H2-Q6"
"233","A530040E14Rik"
"234","Clec1a"
"235","Slc15a2"
"236","Ccl5"
"237","Spred1"
"238","Bambi-ps1"
"239","Selenot"
"240","Map2k6"
"241","Fndc7"
"242","Ms4a4d"
"243","Gstt4"
"244","Bnip3"
"245","Fam3b"
"246","Ms4a4a"
"247","Tspo"
"248","Mx2"
"249","Apool"
"250","St3gal1"
"251","Bmp2"
"252","Slc31a2"
"253","Sting1"
"254","Ifitm6"
"255","Plekhg1"
"256","Susd2"
"257","Nfkbib"
"258","Trim30c"
"259","Ppm1k"
