Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.008475"	"IKZF1_GM12878_HG19"	"IKZF1"	"124"	"1836"	"3.955E-23"	"2.18E-20"	"3.147"	"ENCODE--ChIP-seq"	"ZC3H12C,CREB3L4,GBP6,LY9,AMZ2,ST3GAL3,TNFSF4,TREML2,TNFSF9,GPR18,SNX10,GPR132,ANXA6,JAK2,FCRL5,ANXA4,CDC42EP4,RNASEL,CEPT1,CCL22,NR1H3,SNX20,PSMB8,NAB1,AHR,SAT1,TNFRSF8,MAP3K8,TICAM2,ZBTB32,CD274,LY96,SKIL,LY86,NFKB1,MDM2,XAF1,CIITA,PPP6R1,ACP2,UPP1,ITGA4,TRAF1,ADORA2A,TMBIM4,BIRC2,BIRC3,NOD2,MALT1,MLLT6,CCL4,TIFA,CCL3,RAB29,LRRC8C,DRAM2,SEMA4A,CFLAR,MCOLN2,MARCKS,EVI2A,RAB12,PTPN6,IL1RN,ICAM1,PNP,HERC6,IL15RA,MARF1,TRIM13,SP140,PIK3R6,RAB11FIP1,HIVEP1,SLAMF7,STK38L,GADD45B,TNFSF15,PARP14,BST2,CD200,CD40,CITED2,CTSZ,IL27,CTSS,CTSC,EDN1,IL15,TLR1,TLR7,TLR6,STX11,CD74,SLC31A1,BATF,TRIP10,CD69,CCND2,MIR155,ZBP1,CASK,GPD2,RASGRP1,RASGRP4,GRK3,CRIM1,NFKBIA,ISG20,NFKBIE,RTP4,SOWAHC,MS4A7,TNFAIP3,SPRED1,CASP4,SRGN,PPP2R5A,ETV3,AIM2,RGS16,USP18,MX2,PIK3IP1"
"gene_set_query"	"2"	"0.01695"	"RELA_GM12878_HG19"	"RELA"	"70"	"724"	"1.794E-22"	"4.95E-20"	"4.65"	"ENCODE--ChIP-seq"	"ZC3H12C,JUNB,GTPBP2,TNFSF4,SNX10,TANK,SNX20,MITD1,MAP3K8,TICAM2,ZBTB32,LY96,TNFRSF14,SKIL,LY86,NFKB1,MDM2,CIITA,DUSP10,TRAF1,BIRC2,BIRC3,NOD2,IL2RG,MLLT6,RAB21,CCL5,TIFA,CCL3,CFLAR,MCOLN2,MARCKS,KLF6,EVI2A,RAB12,CLEC2D,IL1RN,ICAM1,B2M,MARF1,TRIM13,HIVEP1,SLAMF7,GADD45B,TNFSF15,CD40,CTSZ,IL27,CTSS,TLR1,TLR7,STX11,CD74,BATF,FAS,CD69,MIR155,ZBP1,GRK3,VCAM1,NFKBIA,NFKBIE,NFKBIB,TNFAIP3,RND1,SCARF1,SRGN,AIM2,IRF1,USP18"
"gene_set_query"	"3"	"0.02542"	"JUN_CH12LX_MM9"	"JUN"	"98"	"1325"	"1.093E-21"	"2.01E-19"	"3.47"	"ENCODE--ChIP-seq"	"DLEU2,GTPBP2,AMZ2,ST3GAL1,APOOL,CP,GPR18,BTG2,GPR132,ENSA,JAK2,FCRL5,SERPINB9,TMEM33,CDC42EP4,RNASEL,TANK,CCL22,PCGF5,SNX20,PSMB8,RNF19B,TNF,SAT1,TNFRSF8,MAP3K8,TICAM2,ZBTB32,CD274,GSTT4,LY96,SRGAP3,SKIL,CXCL10,MDM2,DUSP10,CCDC50,ITGA4,TRAF1,BIRC3,IL2RG,MALT1,VPS54,MCOLN2,MARCKS,KLF6,EVI2A,IL2RA,IL15RA,ACOD1,FNDC7,PLPP1,SDC4,PIK3R6,HELZ2,RAB11FIP1,SLAMF9,HIVEP1,SLAMF6,IFI44,LACC1,GRAP,CD40,CITED2,GLIPR1,GLIPR2,IL15,IL18,RHOQ,AIF1,STX11,AMN1,CD74,CCNG2,APBA1,CD69,CD86,MIR155,ZBP1,GEM,SBDS,CRIM1,NFKBIA,ISG20,NFKBIE,MXD1,TNFAIP3,CASP4,CASP1,SRGN,TAPBP,AIM2,CLEC12A,CAMK2A,NOS2,MX1,PIK3IP1,CCDC173"
"gene_set_query"	"4"	"0.0339"	"MAFK_CH12LX_MM9"	"MAFK"	"99"	"1616"	"1.434E-16"	"1.98E-14"	"2.835"	"ENCODE--ChIP-seq"	"DLEU2,ACOT9,PSME2,AMZ2,TREML2,GPR18,BTG2,SNX10,PGAM2,SERPINB9,PSMA5,AEBP2,TMEM33,PTAFR,TANK,CEPT1,CCL22,PCGF5,SNX20,PSMB8,PSMB9,DCBLD2,NAB1,TNF,TNFRSF8,FOXP4,LY96,ZBTB18,LY86,LRRC63,CXCL10,MDM2,SERINC3,CLEC1A,SGCB,TLK2,ACP2,ITGA4,DUSP28,BIRC3,FGL2,PPM1K,NOD2,IL2RG,MALT1,ZNRF3,DRAM2,MCOLN2,IL2RA,CHORDC1,TNFSF10,AGFG1,IL15RA,FNDC7,PLPP1,SDC4,LPAR1,PIK3R6,HIVEP1,GADD45B,LACC1,CD40,CITED2,CTSZ,GLIPR1,IL15,RHOQ,STX11,SUSD2,CCNG2,FAS,APBA1,CD69,LMO4,NUPR1,RASGRP4,SPTA1,TMEM243,CRIM1,NFKBIA,EFNA2,NFKBIE,ACBD3,CXCL9,MS4A7,CASP4,CASP1,SRGN,ETV3,TAPBP,AIM2,IRF1,LTA,CLEC12A,CAMK2A,IGBP1,NOS2,MX1,RBM43"
"gene_set_query"	"5"	"0.04237"	"JUND_CH12LX_MM9"	"JUND"	"78"	"1148"	"5.978E-16"	"6.6E-14"	"3.167"	"ENCODE--ChIP-seq"	"DLEU2,GBP6,GBP5,GTPBP2,CH25H,LY9,ST3GAL1,TREML2,GPR18,BTG2,GPR132,ENSA,JAK2,PSMA5,AEBP2,GAS7,TANK,PCGF5,SNX20,PSMB8,HSPA1B,RNF19B,TNF,SAT1,TNFRSF8,ZBTB32,CD274,GSTT4,LY96,SKIL,CXCL10,CLEC1A,DUSP10,CCDC50,ITGA4,TRAF1,IL2RG,MALT1,VPS54,MCOLN2,EVI2A,IL2RA,IL15RA,PLPP1,SDC4,PIK3R6,HELZ2,RAB11FIP1,HIVEP1,SLAMF6,IFI44,LACC1,CD40,GLIPR1,IL15,RHOQ,AIF1,STX11,AMN1,CD74,GCA,FAS,CD69,LMO4,SBDS,NFKBIE,MXD1,CASP4,CASP1,SRGN,TAPBP,AIM2,IRF1,CAMK2A,NOS2,MX1,PIK3IP1,CCDC173"
"gene_set_query"	"6"	"0.05085"	"STAT2_K562_HG19"	"STAT2"	"33"	"252"	"1.797E-15"	"1.65E-13"	"6.546"	"ENCODE--ChIP-seq"	"GTPBP2,PRPF38A,EIF2AK2,OGFR,BATF2,CD274,SOCS1,XAF1,MYD88,IFITM3,UBE2L6,IFI35,ICAM1,TNFSF10,LGALS9,B2M,HERC6,RSAD2,HELZ2,N4BP1,PARP14,BST2,PHF11,ISG15,ISG20,RTP4,AIM2,IRF1,IRF9,USP18,MX2,MX1,RBM43"
"gene_set_query"	"7"	"0.05932"	"ETS1_MELCELLLINE_MM9"	"ETS1"	"89"	"1614"	"9.136E-13"	"5.04E-11"	"2.535"	"ENCODE--ChIP-seq"	"DLEU2,JUNB,GTPBP2,DDIT3,PSME2,IDNK,PDGFB,GUCD1,ST3GAL1,PRELID2,TREML2,OGFR,BTG2,GPR132,SERPINB9,PSMA5,PSMA4,CDC42EP4,CDC42EP2,JDP2,PSMB8,PSMB9,ERO1A,TNF,ZFP36,MYLIP,CLEC4E,CD274,LY96,SOCS1,TNFRSF14,SKIL,ZBTB18,GFPT1,XAF1,SERINC3,ARL5C,DUSP10,UPP1,DUSP28,BIRC2,RNF31,PPP1R15A,PPM1K,ZNRF3,TIFA,LRRC8C,PLCL2,CFLAR,KLF6,PTPN6,LST1,UBE2L6,IFI35,LGALS9,B2M,HERC6,RSAD2,PLPP1,SP140,PIK3R6,RAB11FIP1,MIER3,HIVEP1,TREX1,AIF1,STX11,CD74,PLEKHA4,CCND2,CCRL2,CASK,NUPR1,TOR1AIP2,SPTA1,UBE2F,LRRC75A,ISG15,NFKBIA,ISG20,IL6,ACBD3,TNFAIP2,SRGN,TAPBP,IRF9,MX2,GLA,RBM43"
"gene_set_query"	"8"	"0.0678"	"STAT1_K562_HG19"	"STAT1"	"32"	"321"	"8.164E-12"	"3.76E-10"	"4.81"	"ENCODE--ChIP-seq"	"GBP5,GTPBP2,GSDMD,EIF2AK2,BATF2,PSMB8,MITD1,XAF1,MYD88,IFITM3,UBE2L6,IFI35,ICAM1,TNFSF10,B2M,HERC6,RSAD2,HELZ2,N4BP1,PARP14,BST2,UBE2F,PHF11,ISG15,ISG20,AIM2,IRF1,IRF9,USP18,MX2,MX1,RBM43"
"gene_set_query"	"9"	"0.07627"	"SPI1_GM12878_HG19"	"SPI1"	"91"	"1895"	"5.197E-10"	"2.21E-8"	"2.191"	"ENCODE--ChIP-seq"	"ZC3H12C,SCO1,ORAI2,GSDMD,TNFSF9,GPR18,OGFR,BTG1,SNX10,FCRL5,TMEM33,JDP2,TANK,CCL22,NR1H3,PSMB8,EXOC3L4,CXCL16,MAP3K8,TICAM2,ZBTB32,CD274,TNFRSF14,SKIL,ZBTB18,LY86,NFKB1,MYD88,LMBR1L,CIITA,PSTPIP2,TAGAP,TLK2,ACP2,PLEKHG1,ITGA4,TMBIM6,BIRC2,BIRC3,PPP1R15A,FGL2,RAB21,CCL4,TIFA,CCL3,RAB29,VPS54,MCOLN2,PTPN6,NECTIN2,IL1RN,ZDHHC5,ICAM1,PNP,TNFSF10,LGALS9,B2M,TRIM13,SP140,RAB11FIP1,HIVEP1,SLAMF7,TREX1,ZUP1,CD40,CITED2,CTSZ,CTSS,GLIPR1,EDN1,TLR1,TLR7,TLR6,CD74,SLC31A1,CD86,STK4,GRK3,ATP6V1D,HOOK3,NFKBIA,ISG20,NFKBIE,MS4A7,SLC2A6,RND1,SCARF1,IRF1,IRF9,MX2,MX1"
"gene_set_query"	"10"	"0.08475"	"BCL11A_GM12878_HG19"	"BCL11A"	"56"	"1038"	"1.4E-8"	"5.15E-7"	"2.477"	"ENCODE--ChIP-seq"	"ZC3H12C,JUNB,LY9,GPR18,BTG1,GPR132,CCL22,NAB1,SOCS1,TNFRSF14,SKIL,LY86,NFKB1,MDM2,CIITA,PPP6R1,ITGA4,BIRC2,BIRC3,MALT1,CCL4,CCL3,CFLAR,MCOLN2,MARCKS,PTPN6,CLEC2D,ICAM1,B2M,HERC6,TRIM13,SP140,PIK3R6,HIVEP1,ZUP1,GRAP,CTSZ,TLR1,TLR6,STX11,CD74,TRIP10,FAS,CD86,CCND2,ZBP1,ARID5B,GRK3,VCAM1,PHF11,NFKBIA,ISG20,MS4A7,SRGN,AIM2,MX2"
