"","x"
"1","St18"
"2","Pcmtd1"
"3","Rrs1"
"4","Vcpip1"
"5","Sgk3"
"6","Ogfrl1"
"7","Ccdc115"
"8","Arhgef4"
"9","Hs6st1"
"10","Arid5a"
"11","Kansl3"
"12","Mitd1"
"13","Rev1"
"14","Creg2"
"15","Mfsd9"
"16","Stat1"
"17","Nab1"
"18","Inpp1"
"19","Stk17b"
"20","Casp8"
"21","Fzd7"
"22","Nop58"
"23","Wdr12"
"24","Klf7"
"25","Fzd5"
"26","Ikzf2"
"27","Bard1"
"28","Tns1"
"29","Zfp142"
"30","Cyp27a1"
"31","Retreg2"
"32","Zfand2b"
"33","Acsl3"
"34","Utp14b"
"35","A530032D15Rik"
"36","A530040E14Rik"
"37","Sp110"
"38","Sp140"
"39","Sp100"
"40","B3gnt7"
"41","Arl4c"
"42","Sh3bp4"
"43","Per2"
"44","Asb1"
"45","Dusp28"
"46","Ing5"
"47","St8sia4"
"48","Macir"
"49","Ppip5k2"
"50","B230216N24Rik"
"51","Gm7160"
"52","Zcchc2"
"53","Phlpp1"
"54","Bcl2"
"55","Marco"
"56","Slc35f5"
"57","Zranb3"
"58","Mcm6"
"59","Cd55"
"60","Il19"
"61","Il10"
"62","Rab29"
"63","Cdk18"
"64","Nuak2"
"65","Atp2b4"
"66","Btg2"
"67","Kdm5b"
"68","Ptprv"
"69","Ptpn7"
"70","Csrp1"
"71","Kif21b"
"72","Dennd1b"
"73","Aspm"
"74","Rgs2"
"75","Rgs1"
"76","Rgs18"
"77","Ptgs2"
"78","Trmt1l"
"79","Rgl1"
"80","Smg7"
"81","Rgs16"
"82","Rnasel"
"83","Tor1aip1"
"84","Tor1aip2"
"85","Tor3a"
"86","4930523C07Rik"
"87","Gas5"
"88","Tnfsf4"
"89","Eef1aknmt"
"90","Sell"
"91","Slc19a2"
"92","Mpzl1"
"93","Rcsd1"
"94","Cd247"
"95","Pou2f1"
"96","Fcrlb"
"97","Fcgr2b"
"98","Fcgr4"
"99","Adamts4"
"100","Nectin4"
"101","Usf1"
"102","Alyref2"
"103","Cd244a"
"104","Slamf1"
"105","Slamf6"
"106","4933439K11Rik"
"107","Slamf8"
"108","Aim2"
"109","Ifi214"
"110","Ifi213"
"111","Ifi209"
"112","Ifi208"
"113","Ifi207"
"114","Ifi204"
"115","Ifi203-ps"
"116","Mndal"
"117","Ifi211"
"118","Ifi203"
"119","Ifi205"
"120","Spta1"
"121","Kmo"
"122","Cep170"
"123","Sdccag8"
"124","Hmga2-ps1"
"125","Akt3"
"126","Sde2"
"127","Aida"
"128","Dusp10"
"129","Cenpf"
"130","Slc30a1"
"131","Akap12"
"132","Esr1"
"133","Katna1"
"134","Utrn"
"135","Stx11"
"136","Aig1"
"137","Cited2"
"138","Heca"
"139","Reps1"
"140","Pde7b"
"141","Sgk1"
"142","C920009B18Rik"
"143","Eya4"
"144","Stx7"
"145","Arg1"
"146","Akap7"
"147","L3mbtl3"
"148","Ncoa7"
"149","Rnf217"
"150","Zup1"
"151","Calhm6"
"152","Dse"
"153","Marcks"
"154","Fyn"
"155","Cd164"
"156","Sesn1"
"157","Bend3"
"158","Crybg1"
"159","Prdm1"
"160","Ascc3"
"161","Mcm9"
"162","Asf1a"
"163","Pkib"
"164","Ranbp2"
"165","P4ha1"
"166","Slc29a3"
"167","Ppa1"
"168","Sirt1"
"169","Egr2"
"170","Ado"
"171","Arid5b"
"172","Ccdc6"
"173","Adora2a"
"174","Susd2"
"175","Gstt4"
"176","Zfp280b"
"177","Dnmt3l"
"178","Icosl"
"179","Pwp2"
"180","Misp"
"181","Arid3a"
"182","Abca7"
"183","Midn"
"184","Pcsk4"
"185","Klf16"
"186","Adat3"
"187","Gadd45b"
"188","Dapk3"
"189","Nfic"
"190","Gna15"
"191","Tle2"
"192","Eid3"
"193","Nopchap1"
"194","Nuak1"
"195","Fbxo7"
"196","Nt5dc3"
"197","Dram1"
"198","Spic"
"199","Scyl2"
"200","Apaf1"
"201","Cdk17"
"202","Vezt"
"203","Fgd6"
"204","Tmcc3"
"205","Socs2"
"206","Kitl"
"207","Phlda1"
"208","Rab21"
"209","Rab3ip"
"210","4933412E12Rik"
"211","Mdm2"
"212","Irak3"
"213","9230105E05Rik"
"214","Mir763"
"215","Tbk1"
"216","Usp15"
"217","Mettl1"
"218","Nab2"
"219","Nemp1"
"220","Rbms2"
"221","Timeless"
"222","Stat2"
"223","Dgka"
"224","Tmem198b"
"225","Pik3ip1"
"226","Smtn"
"227","Morc2a"
"228","Slc35e4"
"229","Tbc1d10a"
"230","Znrf3"
"231","Urgcp"
"232","Polm"
"233","Snhg15"
"234","Upp1"
"235","Ikzf1"
"236","Aftph"
"237","Peli1"
"238","Vps54"
"239","Vrk2"
"240","Pnpt1"
"241","Stk10"
"242","Pttg1"
"243","Il12b"
"244","Snord96a"
"245","Irgm1"
"246","Gm5431"
"247","Gm12185"
"248","9930111J21Rik1"
"249","Tgtp1"
"250","Or2v1"
"251","Tgtp2"
"252","Ifi47"
"253","Mgat1"
"254","Mapk9"
"255","Mrnip"
"256","Sqstm1"
"257","Mgat4b"
"258","N4bp3"
"259","Jade2"
"260","9530068E07Rik"
"261","Irf1"
"262","Gm12216"
"263","Slc22a21"
"264","Tnip1"
"265","Ccdc69"
"266","Slc36a1"
"267","Gm12250"
"268","Igtp"
"269","Irgm2"
"270","H2ac25"
"271","2610507I01Rik"
"272","Nlrp3"
"273","Flcn"
"274","Natd1"
"275","Mapk7"
"276","Epn2"
"277","Adora2b"
"278","Zswim7"
"279","2410006H16Rik"
"280","Sco1"
"281","Gas7"
"282","Pik3r5"
"283","Per1"
"284","Rnf227"
"285","Kdm6b"
"286","Nlgn2"
"287","Phf23"
"288","Dvl2"
"289","Arrb2"
"290","Inca1"
"291","Scimp"
"292","Nlrp1b"
"293","Nlrp1c-ps"
"294","Xaf1"
"295","Itgae"
"296","Mnt"
"297","Tsr1"
"298","Wdr81"
"299","Scarf1"
"300","Inpp5k"
"301","Gemin4"
"302","Mrm3"
"303","Phf12"
"304","Lyrm9"
"305","Nos2"
"306","Lgals9"
"307","Evi2a"
"308","Crlf3"
"309","Adap2"
"310","Rnf135"
"311","Ccl2"
"312","Ccl7"
"313","Ccl12"
"314","Ccl8"
"315","Slfn5"
"316","Slfn9"
"317","Slfn8"
"318","Slfn1"
"319","Slfn4"
"320","Slfn3"
"321","Ccl9"
"322","Ccl3"
"323","Wfdc17"
"324","Wfdc18"
"325","Mrm1"
"326","Ppm1d"
"327","Dhx40"
"328","A130040M12Rik"
"329","Ypel2"
"330","Prr11"
"331","Cuedc1"
"332","Akap1"
"333","Trim25"
"334","Rsad1"
"335","Xylt2"
"336","Ppp1r9b"
"337","D030028A08Rik"
"338","Socs7"
"339","Mllt6"
"340","Stard3"
"341","Csf3"
"342","Nr1d1"
"343","Ccr7"
"344","Hap1"
"345","Cnp"
"346","Dhx58"
"347","Kcnh4"
"348","Stat5a"
"349","Stat3"
"350","Cntnap1"
"351","Ifi35"
"352","Tmem106a"
"353","Hrob"
"354","Hexim1"
"355","Plekhm1"
"356","Tlk2"
"357","Tanc2"
"358","Slc16a6"
"359","Kcnj2"
"360","Gprc5c"
"361","Cd300lb"
"362","Cd300ld"
"363","Cd300e"
"364","Cd300lf"
"365","Armc7"
"366","Tsen54"
"367","Snhg16"
"368","Snhg20"
"369","Sec14l1"
"370","Tha1"
"371","Socs3"
"372","Usp36"
"373","Lgals3bp"
"374","Engase"
"375","Cbx4"
"376","Rnf213"
"377","Ccdc137"
"378","Slc25a10"
"379","Mafg"
"380","Sectm1a"
"381","Narf"
"382","Kif3c"
"383","Ncoa1"
"384","Rhob"
"385","Cyria"
"386","4921511I17Rik"
"387","Id2"
"388","Rsad2"
"389","Cmpk2"
"390","Prkar2b"
"391","Pik3cg"
"392","Nampt"
"393","Gdap10"
"394","Ahr"
"395","Arl4a"
"396","Gm5785"
"397","Heatr5a"
"398","Egln3"
"399","Prorp"
"400","Psma6"
"401","Nfkbia"
"402","Arf6"
"403","Map4k5"
"404","Sav1"
"405","Frmd6"
"406","Arid4a"
"407","Timm9"
"408","Sgpp1"
"409","Plekhg3"
"410","Max"
"411","Atp6v1d"
"412","Tmem229b"
"413","Zfp36l1"
"414","Map3k9"
"415","Arel1"
"416","Batf"
"417","Tmed8"
"418","Noxred1"
"419","Vipas39"
"420","Sptlc2"
"421","Nrp"
"422","Flrt2"
"423","Gpr65"
"424","Rin3"
"425","Serpina3f"
"426","Serpina3g"
"427","Vrk1"
"428","Wars1"
"429","Ankrd9"
"430","Traf3"
"431","Exoc3l4"
"432","Tnfaip2"
"433","Trmt61a"
"434","Zfyve21"
"435","Ppp1r13b"
"436","Ahnak2"
"437","Pacs2"
"438","Rapgef5"
"439","Itgb8"
"440","Tasor2"
"441","Asb13"
"442","Klf6"
"443","Wdr37"
"444","Lgals8"
"445","Stard3nl"
"446","Gpr141"
"447","BC005537"
"448","Serpinb1c"
"449","Serpinb6b"
"450","Serpinb9"
"451","Nqo2"
"452","Ly86"
"453","Gcnt2"
"454","Smim13"
"455","Edn1"
"456","Cd83"
"457","Jarid2"
"458","Nhlrc1"
"459","Dek"
"460","Rnf144b"
"461","Fgd3"
"462","Bicd2"
"463","Nol8"
"464","Fbxw17"
"465","Cks2"
"466","Sema4d"
"467","Gadd45g"
"468","Syk"
"469","Hrh2"
"470","Simc1"
"471","Unc5a"
"472","Hk3"
"473","Mxd3"
"474","Rgs14"
"475","Dok3"
"476","Etohd2"
"477","Tut7"
"478","4930486L24Rik"
"479","Ctla2b"
"480","Zfp456"
"481","Zfp429"
"482","Mtrr"
"483","Tent4a"
"484","Slc6a19"
"485","Slc12a7"
"486","Polr3g"
"487","Vcan"
"488","Gm4117"
"489","Ssbp2"
"490","Msh3"
"491","Tent2"
"492","Homer1"
"493","Lhfpl2"
"494","Enc1"
"495","Tmem171"
"496","Fcho2"
"497","Naip5"
"498","Naip6"
"499","Ccdc125"
"500","Cd180"
"501","Mast4"
"502","Adamts6"
"503","Rnf180"
"504","Plk2"
"505","Mier3"
"506","Ddx4"
"507","Snx18"
"508","Parp8"
"509","BC147527"
"510","Dnase1l3"
"511","Pxk"
"512","Cadps"
"513","Nr1d2"
"514","Ube2e1"
"515","Anxa7"
"516","Ndst2"
"517","Plau"
"518","Zmiz1"
"519","4931406H21Rik"
"520","Zcchc24"
"521","Arf4"
"522","Il17rd"
"523","Arhgef3"
"524","Gnl3"
"525","Smim4"
"526","Sh3bp5"
"527","Ercc6"
"528","Arhgap22"
"529","Pnp"
"530","Pnp2"
"531","Rnase6"
"532","Slc39a2"
"533","Mmp14"
"534","Pabpn1"
"535","Zfhx2"
"536","Rnf31"
"537","Khnyn"
"538","Cenpj"
"539","Mphosph8"
"540","Rcbtb1"
"541","Phf11"
"542","Phf11a"
"543","Phf11b"
"544","Phf11d"
"545","Phf11c"
"546","Setdb2"
"547","Cab39l"
"548","Pinx1"
"549","Zfp395"
"550","Ccdc25"
"551","Chrna2"
"552","Cdca2"
"553","Kctd9"
"554","Sorbs3"
"555","Slc39a14"
"556","Piwil2"
"557","Polr3d"
"558","Bmp1"
"559","Fndc3a"
"560","Gm9199"
"561","Cysltr2"
"562","Gm20290"
"563","Htr2a"
"564","Lrch1"
"565","Gm10847"
"566","Rubcnl"
"567","Epsti1"
"568","Rgcc"
"569","Elf1"
"570","Bora"
"571","Acod1"
"572","Mycbp2"
"573","Ednrb"
"574","Spry2"
"575","Mir17hg"
"576","Rap2a"
"577","Gpr18"
"578","Fbxo4"
"579","Oxct1"
"580","Dab2"
"581","Il7r"
"582","Rai14"
"583","Otulin"
"584","Otulinl"
"585","Ankrd33b"
"586","Pop1"
"587","Angpt1"
"588","Zhx2"
"589","Rnf139"
"590","Mtss1"
"591","Trib1"
"592","Lratd2"
"593","Myc"
"594","Pvt1"
"595","Asap1"
"596","9130004J05Rik"
"597","Sla"
"598","St3gal1"
"599","Ptk2"
"600","Ly6e"
"601","Ly6a"
"602","Ccdc166"
"603","Parp10"
"604","Hgh1"
"605","Slc39a4"
"606","1110038F14Rik"
"607","Apol9a"
"608","Apol9b"
"609","Gm17638"
"610","Rac2"
"611","Triobp"
"612","Pla2g6"
"613","Maff"
"614","Tmem184b"
"615","D730005E14Rik"
"616","Apobec3"
"617","Pdgfb"
"618","Tef"
"619","Ccdc134"
"620","1700001L05Rik"
"621","Tspo"
"622","Pim3"
"623","Dennd6b"
"624","Abcd2"
"625","Hdac7"
"626","Kansl2"
"627","Rnd1"
"628","Troap"
"629","Nckap5l"
"630","Mettl7a1"
"631","Slc11a2"
"632","Csrnp2"
"633","Acvr1b"
"634","Nr4a1"
"635","Zfp740"
"636","Zfp263"
"637","Adcy9"
"638","Tfap4"
"639","Nmral1"
"640","Hmox2"
"641","Gm10914"
"642","Ubald1"
"643","Tmem186"
"644","Carhsp1"
"645","Ciita"
"646","Socs1"
"647","Zc3h7a"
"648","Mrtfb"
"649","Bfar"
"650","Pphln1-ps1"
"651","Bmerb1"
"652","Abcc1"
"653","Cebpd"
"654","Hic2"
"655","Snap29"
"656","Klhl24"
"657","2510009E07Rik"
"658","Igf2bp2"
"659","Rtp4"
"660","Bcl6"
"661","Acap2"
"662","Cep19"
"663","Nrros"
"664","Pcyt1a"
"665","Lrch3"
"666","Heg1"
"667","Kalrn"
"668","Hspbap1"
"669","Parp14"
"670","Dtx3l"
"671","Parp9"
"672","Cd86"
"673","Slc15a2"
"674","B4galt4"
"675","Qtrt2"
"676","Cd200r1"
"677","Cd200r4"
"678","Plcxd2"
"679","Ift57"
"680","Nfkbiz"
"681","Nxpe3"
"682","Zbtb11"
"683","St3gal6"
"684","Cldnd1"
"685","4930453N24Rik"
"686","Cggbp1"
"687","Usp25"
"688","Bach1"
"689","Tiam1"
"690","Urb1"
"691","Synj1"
"692","Paxbp1"
"693","Dnajc28"
"694","Itsn1"
"695","Rcan1"
"696","Morc3"
"697","Ets2"
"698","Mx1"
"699","Fam3b"
"700","Mx2"
"701","Serac1"
"702","Tagap1"
"703","Rps6ka2"
"704","Cep43"
"705","Gpr31b"
"706","Dll1"
"707","Prdm9"
"708","Chd1"
"709","Riok2"
"710","Lix1"
"711","Lnpep"
"712","Spaca6"
"713","Has1"
"714","Fpr1"
"715","Fpr2"
"716","Zfp52"
"717","Zfp948"
"718","Zfp945"
"719","Mmp25"
"720","Tnfrsf12a"
"721","Tbc1d24"
"722","Ccnf"
"723","Pgp"
"724","Zfp598"
"725","Fahd1"
"726","Cramp1"
"727","Rgs11"
"728","Neurl1b"
"729","Kifc5b"
"730","Ilrun"
"731","Zfp523"
"732","Def6"
"733","Ppard"
"734","Brpf3"
"735","Cdkn1a"
"736","Abcg1"
"737","Pknox1"
"738","Rrp1b"
"739","Zfp871"
"740","Zfp811"
"741","Zfp799"
"742","BC051226"
"743","Daxx"
"744","Tapbp"
"745","H2-K2"
"746","Brd2"
"747","Psmb9"
"748","Tap1"
"749","Psmb8"
